Hashtags,Count
#russia,915
#ukraine,858
#nuclear,578
#putin,511
#war,434
#nato,282
#nuclearwar,176
#usa,148
#biden,142
#zelensky,132
#armageddon,115
#ww3,114
#ukrainerussiawar,102
#us,97
#russian,95
#ukrainewar,91
#russiaukrainewar,90
#china,62
#nuclearweapons,59
#news,52
#europe,49
#eu,48
#military,44
#crimea,35
#ukrainerussianwar,35
#moscow,34
#wwiii,32
#peace,31
#uk,31
#breaking,31
#zelenskyy,29
#joebiden,29
#ukrainian,28
#russianukrainianwar,27
#kyiv,26
#northkorea,26
#politics,26
#nukes,25
#trending,25
#crimeanbridge,24
#weapons,24
#war_in_ukraine,23
#vladimirputin,23
#world,22
#lyman,22
#russianarmy,21
#zaporizhzhia,21
#intelligence,20
#conflict,20
#trump,20
#elonmusk,19
#imammahdi,19
#allah,19
#religion,19
#america,19
#energy,18
#poland,18
#oplran,18
#nuke,17
#metaverse,16
#diplomacy,16
#unitedstates,16
#bitcoin,16
#standwithukraine,16
#kremlin,16
#petraeus,16
#japan,16
#army,15
#un,15
#god,15
#russians,15
#nucleararmageddon,15
#worldwar3,15
#donetsk,15
#france,15
#sanctions,14
#russiainvadedukraine,14
#ukraina,14
#nyc,14
#kherson,14
#game,14
#plant,14
#iranprotests2022,14
#warcrimes,13
#bb24,13
#btc,13
#anime,13
#movie,13
#esport,13
#russiaisaterroriststate,13
#germany,13
#endtimes,12
#nuclear_weapons,12
#nfts,12
#australia,12
#nuclearthreat,12
#specialforces,12
#worldwariii,12
#ukrainianarmy,11
#humanity,11
#popefrancis,11
#finland,11
#ukrainerussia,11
#coldwar,11
#putinwarcriminal,11
#india,11
#zelenskywarcriminal,11
#west,10
#videos,9
#belarus,9
#musk,9
#taiwan,9
#democrats,9
#canada,9
#pope,8
#cia,8
#nuclearstrike,8
#nft,8
#kharkiv,8
#britain,8
#nordstream,8
#iaea,8
#alert,8
#natorussiawar,8
#threat,8
#audioleak,8
#refugees,8
#matthew24,8
#president,8
#nuclearweapon,8
#covid19,8
#russiaislosing,8
#worldnews,8
#cubanmissilecrisis,7
#history,7
#southkorea,7
#ukrainewarnews,7
#nordstreamsabotage,7
#kiev,7
#zelenskiy,7
#radiation,7
#maga,7
#families,7
#emergency,7
#nuclearthreats,7
#security,7
#media,7
#ukrainians,6
#europeanunion,6
#russiaisateroriststate,6
#3,6
#ukrainewillwin,6
#xi,6
#1,6
#warsandrumorsofwar,6
#potus,6
#iran,6
#putinswar,6
#climatechange,6
#nowar,6
